Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,3.0244E-08,-1.8607E-05,0.023658,0,0,0,0.71864,0.0016035,-1.1549E-08,3.9617E-10,0.00092318,-2.7765E-07,0.0023446,0,0,0,0,0,0,package://reBot/meshes/base_link.STL,0.62745,0.62745,0.62745,1,0,0,0,0,0,0,package://reBot/meshes/base_link.STL,,reBot_B601_DM_v1.0_20260331.step-1/01-3D-PRINT_ASM.step-1/02-BASE.step-1;reBot_B601_DM_v1.0_20260331.step-1/01-3D-PRINT_ASM.step-1/02-BASE_02.step-1;reBot_B601_DM_v1.0_20260331.step-1/01-MOTOR_ASM.step-1/02-4310P.step-2,坐标系1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link1,0.001987,5.0452E-07,-0.030934,0,0,0,0.060251,7.2046E-05,-1.7551E-10,7.2041E-06,3.9696E-05,4.4694E-10,6.7575E-05,0,0,0,0,0,0,package://reBot/meshes/Link1.STL,0.62745,0.62745,0.62745,1,0,0,0,0,0,0,package://reBot/meshes/Link1.STL,,reBot_B601_DM_v1.0_20260331.step-1/01-SHEET-METAL_ASM.step-1/02-BAN-LINK-1.step-1;reBot_B601_DM_v1.0_20260331.step-1/01-3D-PRINT_ASM.step-1/02-SPACER-DOWN.step-1,坐标系2,基准轴1,Joint1,revolute,0,0,0.1245,0,0,3.1416,base_link,0,0,1,0,0,0,0,,,,,,,,
Link2,0.133464625866704,0.00308937202589413,0.000687469222568574,0,0,0,0.744162666971991,0.000260999236130728,4.1803013703388E-06,2.34862289254542E-10,0.00209760751771115,-4.3711128404059E-07,0.00209695383002008,0,0,0,0,0,0,package://reBot/meshes/Link2.STL,0.627450980392157,0.627450980392157,0.627450980392157,1,0,0,0,0,0,0,package://reBot/meshes/Link2.STL,,reBot_B601_DM_v1.0_20260331.step-1/01-SHEET-METAL_ASM.step-1/02-BAN-LINK2_1.step-1;reBot_B601_DM_v1.0_20260331.step-1/01-3D-PRINT_ASM.step-1/02-DOWN_TRIM_1.step-1;reBot_B601_DM_v1.0_20260331.step-1/01-3D-PRINT_ASM.step-1/02-DOWN-COVER.step-1;reBot_B601_DM_v1.0_20260331.step-1/01-3D-PRINT_ASM.step-1/02-DOWN_TRIM_2.step-1;reBot_B601_DM_v1.0_20260331.step-1/01-SHEET-METAL_ASM.step-1/02-BAN-LINK2_1_.step-1;reBot_B601_DM_v1.0_20260331.step-1/01-3D-PRINT_ASM.step-1/02-DOWN-FILLING.step-1;reBot_B601_DM_v1.0_20260331.step-1/01-MOTOR_ASM.step-1/02-4340P.step-1;reBot_B601_DM_v1.0_20260331.step-1/01-MOTOR_ASM.step-1/02-4340P.step-2;reBot_B601_DM_v1.0_20260331.step-1/01-CNC_ASM.step-1/02-LINK1-GASKET.step-3;reBot_B601_DM_v1.0_20260331.step-1/01-CNC_ASM.step-1/02-LINK1-GASKET.step-1,坐标系3,基准轴2,Joint2,revolute,-0.02,0,0,1.5708,0,0,Link1,0,0,1,0,0,0,0,,,,,,,,
Link3,-0.131200960467203,0.0266180692454115,0.000486763491741413,0,0,0,0.526088988004696,0.000211286496186713,-0.000229180361937972,6.11886097228137E-08,0.00127272230204212,-2.70244924572551E-07,0.00132314392481421,0,0,0,0,0,0,package://reBot/meshes/Link3.STL,0.627450980392157,0.627450980392157,0.627450980392157,1,0,0,0,0,0,0,package://reBot/meshes/Link3.STL,,reBot_B601_DM_v1.0_20260331.step-1/01-SHEET-METAL_ASM.step-1/02-BAN-LINK4_2.step-1;reBot_B601_DM_v1.0_20260331.step-1/01-3D-PRINT_ASM.step-1/02-HANDLE.step-1;reBot_B601_DM_v1.0_20260331.step-1/01-3D-PRINT_ASM.step-1/02-UP-FILLING.step-1;reBot_B601_DM_v1.0_20260331.step-1/01-3D-PRINT_ASM.step-1/02-UP-TRIM_1.step-1;reBot_B601_DM_v1.0_20260331.step-1/01-3D-PRINT_ASM.step-1/02-UP-COVER.step-1;reBot_B601_DM_v1.0_20260331.step-1/01-3D-PRINT_ASM.step-1/02-UP-TRIM_2.step-1;reBot_B601_DM_v1.0_20260331.step-1/01-SHEET-METAL_ASM.step-1/02-BAN-LINK4_1.step-1;reBot_B601_DM_v1.0_20260331.step-1/01-MOTOR_ASM.step-1/02-4310P.step-1;reBot_B601_DM_v1.0_20260331.step-1/01-CNC_ASM.step-1/02-LINK1-GASKET.step-2;reBot_B601_DM_v1.0_20260331.step-1/01-SHEET-METAL_ASM.step-1/02-BAN-LINK3_3_1.step-1;reBot_B601_DM_v1.0_20260331.step-1/01-SHEET-METAL_ASM.step-1/02-BAN-LINK3_3_2.step-1,坐标系4,基准轴3,Joint3,revolute,0.264,0,0,0,0,-0.21902,Link2,0,0,1,0,0,0,0,,,,,,,,
Link4,-0.062833608536219,0.0535441723483397,-0.000256649124591804,0,0,0,0.18574085248192,7.966519613982E-05,1.81141765590471E-05,-4.06307969393994E-08,0.000112303461385167,1.27039464954321E-07,0.000108933312687588,0,0,0,0,0,0,package://reBot/meshes/Link4.STL,0.627450980392157,0.627450980392157,0.627450980392157,1,0,0,0,0,0,0,package://reBot/meshes/Link4.STL,,reBot_B601_DM_v1.0_20260331.step-1/01-SHEET-METAL_ASM.step-1/02-BAN-LINK4_5_2.step-1;reBot_B601_DM_v1.0_20260331.step-1/01-3D-PRINT_ASM.step-1/02-MOTOR-COVER.step-1;reBot_B601_DM_v1.0_20260331.step-1/01-SHEET-METAL_ASM.step-1/02-BAN-LINK4_5_1.step-1;reBot_B601_DM_v1.0_20260331.step-1/01-MOTOR_ASM.step-1/02-4310P.step-3;reBot_B601_DM_v1.0_20260331.step-1/01-CNC_ASM.step-1/02-BIG-LINK5-6.step-1,坐标系5,基准轴4,Joint4,revolute,-0.24854,0,0,0,0,0.21902,Link3,0,0,1,0,0,0,0,,,,,,,,
Link5,9.25757852037946E-05,0.00177983360892567,-0.000401468264380173,0,0,0,0.144440209301369,5.04662432487401E-05,-2.77652781862721E-07,1.15460199088396E-08,6.14533212841602E-05,-3.10150692474122E-06,4.86549201379931E-05,0,0,0,0,0,0,package://reBot/meshes/Link5.STL,0.627450980392157,0.627450980392157,0.627450980392157,1,0,0,0,0,0,0,package://reBot/meshes/Link5.STL,,reBot_B601_DM_v1.0_20260331.step-1/01-MOTOR_ASM.step-1/02-4310P.step-4;reBot_B601_DM_v1.0_20260331.step-1/01-SHEET-METAL_ASM.step-1/02-BAN-LINK-6.step-1;reBot_B601_DM_v1.0_20260331.step-1/01-3D-PRINT_ASM.step-1/02-SPACER.step-1;reBot_B601_DM_v1.0_20260331.step-1/01-CNC_ASM.step-1/02-OLD-OUT.step-1,坐标系6,基准轴5,Joint5,revolute,-0.078308,-0.0025,0,1.5708,1.5708,0,Link4,0,0,1,0,0,0,0,,,,,,,,
Link6,3.4207E-05,7.2805E-05,0.062738,0,0,0,0.24472,6.8558E-05,3.2525E-08,2.7765E-07,0.00021371,-2.9464E-09,0.00022931,0,0,0,0,0,0,package://reBot/meshes/Link6.STL,0.62745,0.62745,0.62745,1,0,0,0,0,0,0,package://reBot/meshes/Link6.STL,,reBot_B601_DM_v1.0_20260331.step-1/01-MOTOR_ASM.step-1/02-4310P.step-5;reBot_B601_DM_v1.0_20260331.step-1/01-3D-PRINT_ASM.step-1/2026-03-13-17-10-56-884.step-1;reBot_B601_DM_v1.0_20260331.step-1/01-3D-PRINT_ASM.step-1/02-RAIL-BRACKET.step-1;reBot_B601_DM_v1.0_20260331.step-1/01-3D-PRINT_ASM.step-1/02-CLIP_1.step-1;reBot_B601_DM_v1.0_20260331.step-1/01-3D-PRINT_ASM.step-1/02-FIX-RACK.step-2;reBot_B601_DM_v1.0_20260331.step-1/01-3D-PRINT_ASM.step-1/02-FIX-RACK.step-1;reBot_B601_DM_v1.0_20260331.step-1/01-3D-PRINT_ASM.step-1/02-CLIP_1.step-2;reBot_B601_DM_v1.0_20260331.step-1/01-BOUGHT-OUT_ASM.step-1/02-RACK.step-1;reBot_B601_DM_v1.0_20260331.step-1/01-BOUGHT-OUT_ASM.step-1/02-RAIL.step-1;reBot_B601_DM_v1.0_20260331.step-1/01-BOUGHT-OUT_ASM.step-1/02-5B9E4F53.step-2;reBot_B601_DM_v1.0_20260331.step-1/01-3D-PRINT_ASM.step-1/02-8MM.step-1;reBot_B601_DM_v1.0_20260331.step-1/01-FASTENER_ASM.step-1/M5_20_YUANZHU.step-1;reBot_B601_DM_v1.0_20260331.step-1/01-BOUGHT-OUT_ASM.step-1/02-5B9E4F53.step-1;reBot_B601_DM_v1.0_20260331.step-1/01-BOUGHT-OUT_ASM.step-1/02-RACK.step-2,坐标系7,基准轴6,Joint6,revolute,0,-0.020692,0,1.5708,0,0,Link5,0,0,1,0,0,0,0,,,,,,,,
